"conductortype","ac_line_segment_per_meter_positive_sequence_impedance_r","ac_line_segment_per_meter_positive_sequence_impedance_x","ac_line_segment_per_meter_zero_sequence_impedance_r","ac_line_segment_per_meter_zero_sequence_impedance_x"
"1 - 3x65mm2 (0.1in2) + 1x25mm2 (0.04in2) Cu","0.000342","0.000106","0.000342","0.000106"
"1 - 2x10mm2 (7/0.052in) Cu N/S + 1x6mm2 (7/.036in) Cu","0.00233","0.000122","0.00233","0.000122"
"1 - 4x35mm2 (0.06in2) Cu","0.000668","0.000117","0.000668","0.000117"
"1 - 2x6mm2 (0.007in2) Cu","0.00393","0.0000887","0.00393","0.0000887"
"4 - 1x300mm2 Al XLPE PVC","0.00013","0.0000959","0.00013","0.0000959"
"1 - 4x70mm2","0.000568","0.000119","0.000568","0.000119"
"1 - 3x2.5mm2 + E Cu (TPS) PVC PVC","0.00945","0.000102","0.00945","0.000102"
"1 - 4x40mm2 Cu XLPE","0.000669933","0.000104804","0.000669933","0.000104804"
"1 - 4x10mm2 Al XLPE","0.00388","0.000122","0.00388","0.000122"
"1 - 1x25mm2 Cu N/S","0.000927","0.000141","0.000927","0.000141"
"1 - 1x10mm2 (0.0145in2) PVC N/S","0.00233","0.000122","0.00233","0.000122"
"1 - 4x320mm2 (0.5in2) Al XLPE PVC","0.00013","0.0000959","0.00013","0.0000959"
"1 - 2x16mm2 (0.0227in2) Cu","0.00147","0.000151","0.00147","0.000151"
"1 - 3x95mm2 (0.15in2) Cu PVC + 1x40mm2 Cu","0.000247","0.000112","0.000247","0.000112"
"Other","0.00147","0.000151","0.00147","0.000151"
"1 - 1x95mm2 Al XLPE PVC","0.000411","0.000112","0.000411","0.000112"
"1 - 4x16mm2 Al PILCSWAJS","0.00245","0.000151","0.00245","0.000151"
"1 - 3x70mm2 Al N/S PVC","0.000568","0.000119","0.000568","0.000119"
"1 - 3x185mm2 Cu + 1 - 1x95mm","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x400mm2 Al XLPE","0.000102","0.0000928","0.000102","0.0000928"
"1 - 3x95mm2 Al XLPE HDPE","0.000411","0.000112","0.000411","0.000112"
"4 - 1x400mm2 Al XLPE PVC","0.000102","0.0000928","0.000102","0.0000928"
"1 - 4x300mm2 Cu","0.0000798","0.0000858","0.0000798","0.0000858"
"1 - 4x16mm2 Cu PILCSWAJS","0.00147","0.000151","0.00147","0.000151"
"1 - 4x6mm2 (0.01in2) Cu","0.00393","0.0000887","0.00393","0.0000887"
"1 - 1x35mm2 Cu HD N/S PVC","0.000668","0.000117","0.000668","0.000117"
"70mm2 Cu HD Bare","0.000322","0.000349","0.000322","0.000349"
"4 - 1x16mm2 Al XLPE PVC","0.00245","0.000151","0.00245","0.000151"
"1 - 1x50mm2 Cu N/S PVC","0.000494","0.000112","0.000494","0.000112"
"Aluminium Heavy","0.000411","0.0003757","0.000411","0.0003757"
"1 - 4x400mm2 Cu","0.0000798","0.0000858","0.0000798","0.0000858"
"3 - 1x25mm2 Cu PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 2x35mm2 Al XLPE PVC","0.00111","0.000132","0.00111","0.000132"
"1 - 4x95mm2 Al PVC","0.000411","0.0004482","0.000411","0.0004482"
"1 - 4x35mm2 (19/0.064in) Cu PILCSWAJS","0.000668","0.000117","0.000668","0.000117"
"1 - 2x16mm2 Cu SWA","0.00147","0.000151","0.00147","0.000151"
