icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0002030182WE232,,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030182WE232,,T4363-U02,T4363,2023-02-27 00:00:00,,
0002030185WEFF8,10067722,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030185WEFF8,10067722,T7471-U04,T7471,2023-02-27 00:00:00,,
0002030188WE0A3,10021629,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030188WE0A3,10021629,T7471-U04,T7471,2023-02-27 00:00:00,,
0002030964WE90A,10054379,T2581-U01,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030964WE90A,10054379,T7471-U03,T7471,2023-02-27 00:00:00,,
0002030965WE54F,10054333,T2581-U01,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030965WE54F,10054333,T7471-U01,T7471,2023-02-27 00:00:00,,
0002102325WEBE0,10049716,T3114-U01,T3114,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0002102325WEBE0,10049716,T3954-U02,T3954,2022-10-20 00:00:00,,
0002102327WEB65,10026242,T3114-U01,T3114,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0002102327WEB65,10026242,T3954-U02,T3954,2022-10-20 00:00:00,,
0002102445WEB12,10049663,T975-U04,T975,2022-05-01 00:00:00,2022-09-21 00:00:00,tx change
0002102445WEB12,10049663,T3954-U02,T3954,2022-09-21 00:00:00,,
0002102885WE0F1,10055597,T3114-U01,T3114,2022-05-01 00:00:00,2022-07-11 00:00:00,icp decom
0002102912WEBD8,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102912WEBD8,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102913WE79D,10049667,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102913WE79D,10049667,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102914WEA57,10051406,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
