meter,Phase,status,Notes
10068240,C,0,Long term verified disconnected
10005516,C,0,Long term verified disconnected
10005495,C,0,Long term verified disconnected
10066649,C,0,Long term verified disconnected
10066632,C,0,Long term verified disconnected
10068237,C,0,Long term verified disconnected
10068310,C,0,Long term verified disconnected
10021604,C,0,Long term verified disconnected
10005282,C,0,Long term verified disconnected
10067918,C,0,Long term verified disconnected
10052404,C,0,Long term verified disconnected
10067942,C,0,Long term verified disconnected
10005449,C,0,Long term verified disconnected
10004996,C,0,Long term verified disconnected
10068381,C,0,Long term verified disconnected
10067905,C,0,Long term verified disconnected
10068287,C,0,Long term verified disconnected
10001640,C,0,Long term verified disconnected
10067909,C,0,Long term verified disconnected
10004360,C,0,Long term verified disconnected
10067763,C,0,Long term verified disconnected
10069201,C,0,Long term verified disconnected
10067924,C,0,Long term verified disconnected
10067740,C,0,Long term verified disconnected
10068307,C,0,Long term verified disconnected
10067709,C,0,Long term verified disconnected
10068437,C,0,Long term verified disconnected
10067720,C,0,Long term verified disconnected
10068335,C,0,Long term verified disconnected
10068297,C,0,Long term verified disconnected
10068793,C,0,Long term verified disconnected
10068408,C,0,Long term verified disconnected
10067670,C,0,Long term verified disconnected
10068220,C,0,Long term verified disconnected
10067721,C,0,Long term verified disconnected
10067710,C,0,Long term verified disconnected
10068221,C,0,Long term verified disconnected
10068426,C,0,Long term verified disconnected
10069328,C,0,Long term verified disconnected
10069173,C,0,Long term verified disconnected
10068314,C,0,Long term verified disconnected
10068404,C,0,Long term verified disconnected
10067823,C,0,Long term verified disconnected
10068449,C,0,Long term verified disconnected
10068296,C,0,Long term verified disconnected
10069363,C,0,Long term verified disconnected
10069240,C,0,Long term verified disconnected
10068778,C,0,Long term verified disconnected
10068365,C,0,Long term verified disconnected
10068170,C,0,Long term verified disconnected
10004870,C,0,Long term verified disconnected
10068783,C,0,Long term verified disconnected
10069365,C,0,Long term verified disconnected
10068450,C,0,Long term verified disconnected
10069301,C,0,Long term verified disconnected
10065974,C,0,Long term verified disconnected
10069265,C,0,Long term verified disconnected
10070879,C,0,Long term verified disconnected
10069198,C,0,Long term verified disconnected
10068771,C,0,Long term verified disconnected
10070746,C,0,Long term verified disconnected
10069239,C,0,Long term verified disconnected
10021613,C,0,Long term verified disconnected
10069212,A,0,Long term verified disconnected
10070620,C,0,Long term verified disconnected
10070720,C,0,Long term verified disconnected
10070648,C,0,Long term verified disconnected
10071154,C,0,Long term verified disconnected
10069178,C,0,Long term verified disconnected
10070898,C,0,Long term verified disconnected
10066653,C,0,Long term verified disconnected
10070732,C,0,Long term verified disconnected
10070867,C,0,Long term verified disconnected
10070616,C,0,Long term verified disconnected
10070617,C,0,Long term verified disconnected
10070630,C,0,Long term verified disconnected
10071111,C,0,Long term verified disconnected
10073215,C,0,Long term verified disconnected
10070671,C,0,Long term verified disconnected
10071157,C,0,Long term verified disconnected
10070737,C,0,Long term verified disconnected
10070816,C,0,Long term verified disconnected
10071051,C,0,Long term verified disconnected
10073273,C,0,Long term verified disconnected
10071094,C,0,Long term verified disconnected
10071086,C,0,Long term verified disconnected
10071088,C,0,Long term verified disconnected
10071050,C,0,Long term verified disconnected
10073767,C,0,Long term verified disconnected
10070926,C,0,Long term verified disconnected
10071124,C,0,Long term verified disconnected
10070924,C,0,Long term verified disconnected
10071001,C,0,Long term verified disconnected
10073769,C,0,Long term verified disconnected
10070663,C,0,Long term verified disconnected
10073168,C,0,Long term verified disconnected
10073090,C,0,Long term verified disconnected
10071013,C,0,Long term verified disconnected
10070925,C,0,Long term verified disconnected
10073751,C,0,Long term verified disconnected
10070910,C,0,Long term verified disconnected
10073253,C,0,Long term verified disconnected
10071004,C,0,Long term verified disconnected
10070934,C,0,Long term verified disconnected
10073249,C,0,Long term verified disconnected
10073267,C,0,Long term verified disconnected
10073214,C,0,Long term verified disconnected
10070907,C,0,Long term verified disconnected
10073224,C,0,Long term verified disconnected
10073148,C,0,Long term verified disconnected
10073260,C,0,Long term verified disconnected
10073183,C,0,Long term verified disconnected
10073002,C,0,Long term verified disconnected
10075202,C,0,Long term verified disconnected
10073151,C,0,Long term verified disconnected
10073153,C,0,Long term verified disconnected
10070949,C,0,Long term verified disconnected
10071016,C,0,Long term verified disconnected
10073005,C,0,Long term verified disconnected
10073200,C,0,Long term verified disconnected
10073778,C,0,Long term verified disconnected
10073276,C,0,Long term verified disconnected
10073127,C,0,Long term verified disconnected
10073193,C,0,Long term verified disconnected
10073279,C,0,Long term verified disconnected
10062125,C,0,Long term verified disconnected
10075478,C,0,Long term verified disconnected
10035818,C,0,Long term verified disconnected
10073038,C,0,Long term verified disconnected
10073032,C,0,Long term verified disconnected
10075238,C,0,Long term verified disconnected
10073749,C,0,Long term verified disconnected
10073068,C,0,Long term verified disconnected
10052567,C,0,Long term verified disconnected
10073212,C,0,Long term verified disconnected
10073037,C,0,Long term verified disconnected
10075501,C,0,Long term verified disconnected
10029608,C,0,Long term verified disconnected
10075091,C,0,Long term verified disconnected
10073104,C,0,Long term verified disconnected
10005238,C,0,Long term verified disconnected
10004154,C,0,Long term verified disconnected
10029864,C,0,Long term verified disconnected
10066383,C,0,Long term verified disconnected
10075479,C,0,Long term verified disconnected
10075093,C,0,Long term verified disconnected
10075337,C,0,Long term verified disconnected
10075570,C,0,Long term verified disconnected
10075553,C,0,Long term verified disconnected
10075173,C,0,Long term verified disconnected
10075187,C,0,Long term verified disconnected
10075551,C,0,Long term verified disconnected
10075427,C,0,Long term verified disconnected
10075139,C,0,Long term verified disconnected
10075136,C,0,Long term verified disconnected
10075422,C,0,Long term verified disconnected
10075311,C,0,Long term verified disconnected
10075311,B,0,Long term verified disconnected
10005146,C,0,Long term verified disconnected
10006476,C,0,Long term verified disconnected
10066249,C,0,Long term verified disconnected
10005023,C,0,Long term verified disconnected
10053004,C,0,Long term verified disconnected
10064313,C,0,Long term verified disconnected
10004450,C,0,Long term verified disconnected
10005599,C,0,Long term verified disconnected
10068366,C,0,Long term verified disconnected
10064316,C,0,Long term verified disconnected
10052997,C,0,Long term verified disconnected
10052930,C,0,Long term verified disconnected
10005331,C,0,Long term verified disconnected
10053791,C,0,Long term verified disconnected
10053550,A,0,Long term verified disconnected
10006917,C,0,Long term verified disconnected
10065858,C,0,Long term verified disconnected
10032492,C,0,Long term verified disconnected
10032493,C,0,Long term verified disconnected
10064354,C,0,Long term verified disconnected
10006117,C,0,Long term verified disconnected
10004367,C,0,Long term verified disconnected
10032440,C,0,Long term verified disconnected
